occupation,adjective,n_paired,Rf_base,Rf_adj,delta,delta_ci_low,delta_ci_high,significant
dental_hygienist,aggressive,105,1.0,1.0,0.0,0.0,0.0,False
dental_hygienist,friendly,110,1.0,1.0,0.0,0.0,0.0,False
dental_hygienist,successful,113,1.0,1.0,0.0,0.0,0.0,False
electrician,aggressive,62,0.0,0.016129032258064516,0.016129032258064516,0.0,0.04838709677419355,False
electrician,friendly,70,0.0,0.0,0.0,0.0,0.0,False
electrician,successful,72,0.0,0.0,0.0,0.0,0.0,False
loan_officer,aggressive,44,0.4772727272727273,0.25,-0.22727272727272727,-0.36363636363636365,-0.11363636363636363,True
loan_officer,friendly,59,0.5084745762711864,0.3389830508474576,-0.1694915254237288,-0.288135593220339,-0.05084745762711865,True
loan_officer,successful,56,0.5357142857142857,0.32142857142857145,-0.21428571428571427,-0.3392857142857143,-0.10669642857143506,True
nurse,aggressive,102,1.0,1.0,0.0,0.0,0.0,False
nurse,friendly,107,1.0,1.0,0.0,0.0,0.0,False
nurse,successful,105,1.0,1.0,0.0,0.0,0.0,False
retail_salesperson,aggressive,92,0.34782608695652173,0.32608695652173914,-0.021739130434782608,-0.13043478260869565,0.08695652173913043,False
retail_salesperson,friendly,91,0.32967032967032966,0.4175824175824176,0.08791208791208792,-0.01098901098901099,0.18681318681318682,False
retail_salesperson,successful,92,0.34782608695652173,0.31521739130434784,-0.03260869565217391,-0.11956521739130435,0.05434782608695652,False
software_developer,aggressive,78,0.08974358974358974,0.15384615384615385,0.0641025641025641,-0.02564102564102564,0.15384615384615385,False
software_developer,friendly,85,0.09411764705882353,0.07058823529411765,-0.023529411764705882,-0.08235294117647059,0.03529411764705882,False
software_developer,successful,78,0.08974358974358974,0.07692307692307693,-0.01282051282051282,-0.07692307692307693,0.05128205128205128,False
